year,habitatNum,habitatOriginal,habitat,species,areaAccess,areaOtterlosebos,areaRefuge
2021,2,Wet heathland,wet_heath,mouflon_wild_boar,425.75,0,83.5
2021,3,Dry heathland,dry_heath,mouflon_wild_boar,631.6,10,182.45
2021,4,Pine woodland,pine_woodland,mouflon_wild_boar,774.8,5,483.3
2021,5,Forest culture,forest_culture,mouflon_wild_boar,1116.4,165,209.7
2021,6,"Arable fields, pastures, other",other,mouflon_wild_boar,40.8,0,3.3
2021,7,Water,water,mouflon_wild_boar,0,0,0
2021,8,Game_meadow,meadow,mouflon_wild_boar,10.35,0,12.35
2022,1,Driftsand,driftsand,mouflon_wild_boar,803.3,10,138.4
2022,2,Wet heathland,wet_heath,mouflon_wild_boar,424.75,0,83.5
2022,3,Dry heathland,dry_heath,mouflon_wild_boar,628.6,10,182.45
2022,4,Pine woodland,pine_woodland,mouflon_wild_boar,773.8,5,483.3
2022,5,Forest culture,forest_culture,mouflon_wild_boar,1105.4,165,209.7
2022,6,"Arable fields, pastures, other",other,mouflon_wild_boar,39.8,0,3.3
2022,7,Water,water,mouflon_wild_boar,0,0,0
2022,8,Game_meadow,meadow,mouflon_wild_boar,10.35,0,12.35
2023,1,Driftsand,driftsand,mouflon_wild_boar,836.3,10,138.4
2023,2,Wet heathland,wet_heath,mouflon_wild_boar,424.75,0,83.5
2023,3,Dry heathland,dry_heath,mouflon_wild_boar,628.6,10,182.45
2023,4,Pine woodland,pine_woodland,mouflon_wild_boar,738.8,5,483.3
2023,5,Forest culture,forest_culture,mouflon_wild_boar,1099.4,164,207.7
2023,6,"Arable fields, pastures, other",other,mouflon_wild_boar,39.8,0,3.3
2023,7,Water,water,mouflon_wild_boar,0,0,0
2023,8,Game_meadow,meadow,mouflon_wild_boar,10.35,0,12.35
2012,1,Driftsand,driftsand,red_deer_roe_deer,803.3,0,136.4
2012,2,Wet heathland,wet_heath,red_deer_roe_deer,464.75,0,83.5
2012,3,Dry heathland,dry_heath,red_deer_roe_deer,629.6,0,154.45
2012,4,Pine woodland,pine_woodland,red_deer_roe_deer,817.8,0,511.3
2012,5,Forest culture,forest_culture,red_deer_roe_deer,1171.4,0,211.7
2012,6,"Arable fields, pastures, other",other,red_deer_roe_deer,57.2,0,2.8
2012,7,Water,water,red_deer_roe_deer,5,0,0
2012,8,Game_meadow,meadow,red_deer_roe_deer,10.95,0,13.85
2013,1,Driftsand,driftsand,red_deer_roe_deer,803.3,0,136.4
2013,2,Wet heathland,wet_heath,red_deer_roe_deer,464.75,0,83.5
2013,3,Dry heathland,dry_heath,red_deer_roe_deer,629.6,0,154.45
2013,4,Pine woodland,pine_woodland,red_deer_roe_deer,817.8,0,511.3
2013,5,Forest culture,forest_culture,red_deer_roe_deer,1171.4,0,211.7
2013,6,"Arable fields, pastures, other",other,red_deer_roe_deer,57.2,0,2.8
2013,7,Water,water,red_deer_roe_deer,5,0,0
2013,8,Game_meadow,meadow,red_deer_roe_deer,10.95,0,13.85
2014,1,Driftsand,driftsand,red_deer_roe_deer,803.3,0,136.4
2014,2,Wet heathland,wet_heath,red_deer_roe_deer,464.75,0,83.5
2014,3,Dry heathland,dry_heath,red_deer_roe_deer,629.6,0,154.45
2014,4,Pine woodland,pine_woodland,red_deer_roe_deer,817.8,0,511.3
2014,5,Forest culture,forest_culture,red_deer_roe_deer,1170.4,0,211.7
2014,6,"Arable fields, pastures, other",other,red_deer_roe_deer,57.2,0,2.8
2014,7,Water,water,red_deer_roe_deer,5,0,0
2014,8,Game_meadow,meadow,red_deer_roe_deer,10.95,0,13.85
2015,1,Driftsand,driftsand,red_deer_roe_deer,803.3,0,136.4
2015,2,Wet heathland,wet_heath,red_deer_roe_deer,464.75,0,83.5
2015,3,Dry heathland,dry_heath,red_deer_roe_deer,629.6,0,154.45
2015,4,Pine woodland,pine_woodland,red_deer_roe_deer,817.8,0,511.3
2015,5,Forest culture,forest_culture,red_deer_roe_deer,1170.4,0,211.7
2015,6,"Arable fields, pastures, other",other,red_deer_roe_deer,57.2,0,2.8
2015,7,Water,water,red_deer_roe_deer,5,0,0
2015,8,Game_meadow,meadow,red_deer_roe_deer,10.95,0,13.85
2016,1,Driftsand,driftsand,red_deer_roe_deer,803.3,0,136.4
2016,2,Wet heathland,wet_heath,red_deer_roe_deer,464.75,0,83.5
2016,3,Dry heathland,dry_heath,red_deer_roe_deer,660.6,0,182.45
2016,4,Pine woodland,pine_woodland,red_deer_roe_deer,789.8,0,483.3
2016,5,Forest culture,forest_culture,red_deer_roe_deer,1167.4,0,211.7
2016,6,"Arable fields, pastures, other",other,red_deer_roe_deer,57.2,0,2.8
2016,7,Water,water,red_deer_roe_deer,5,0,0
2016,8,Game_meadow,meadow,red_deer_roe_deer,10.95,0,13.85
2017,1,Driftsand,driftsand,red_deer_roe_deer,803.3,10,138.4
2017,2,Wet heathland,wet_heath,red_deer_roe_deer,464.75,0,83.5
2017,3,Dry heathland,dry_heath,red_deer_roe_deer,669.6,10,182.45
2017,4,Pine woodland,pine_woodland,red_deer_roe_deer,789.8,5,483.3
2017,5,Forest culture,forest_culture,red_deer_roe_deer,1157.4,166,209.7
2017,6,"Arable fields, pastures, other",other,red_deer_roe_deer,57.2,0,2.8
2017,7,Water,water,red_deer_roe_deer,5,0,0
2017,8,Game_meadow,meadow,red_deer_roe_deer,10.95,0,13.85
2018,1,Driftsand,driftsand,red_deer_roe_deer,803.3,10,138.4
2018,2,Wet heathland,wet_heath,red_deer_roe_deer,464.75,0,83.5
2018,3,Dry heathland,dry_heath,red_deer_roe_deer,669.6,10,182.45
2018,4,Pine woodland,pine_woodland,red_deer_roe_deer,789.8,5,483.3
2018,5,Forest culture,forest_culture,red_deer_roe_deer,1157.4,166,209.7
2018,6,"Arable fields, pastures, other",other,red_deer_roe_deer,57.2,0,2.8
2018,7,Water,water,red_deer_roe_deer,5,0,0
2018,8,Game_meadow,meadow,red_deer_roe_deer,10.95,0,13.85
2019,1,Driftsand,driftsand,red_deer_roe_deer,803.3,10,138.4
2019,2,Wet heathland,wet_heath,red_deer_roe_deer,463.75,0,83.5
2019,3,Dry heathland,dry_heath,red_deer_roe_deer,669.6,10,182.45
2019,4,Pine woodland,pine_woodland,red_deer_roe_deer,789.8,5,483.3
2019,5,Forest culture,forest_culture,red_deer_roe_deer,1155.4,166,209.7
2019,6,"Arable fields, pastures, other",other,red_deer_roe_deer,57.8,0,1.8
2019,7,Water,water,red_deer_roe_deer,5,0,0
2019,8,Game_meadow,meadow,red_deer_roe_deer,10.35,0,13.85
2020,1,Driftsand,driftsand,red_deer_roe_deer,803.3,10,138.4
2020,2,Wet heathland,wet_heath,red_deer_roe_deer,463.75,0,83.5
2020,3,Dry heathland,dry_heath,red_deer_roe_deer,669.6,10,182.45
